number,name,member,url,lank,note,aileshortさんが投稿済みの楽曲は避けるか優先度低,Unnamed: 7
HS05_01,君しか勝たん,全体曲,https://youtu.be/Rbfjx48dcis,0,楽譜なし、short,full,
HS05_02,声の足跡,全体曲,https://youtu.be/zJb9I6lyHD8,51,楽譜なし、short,full,
HS05_03,嘆きのDelete,加藤史帆,https://youtu.be/6xrqZQjY5Mk,52,,,
HS05_04,Right?,3期生楽曲,https://youtu.be/ru8v5B2AZlQ,53,,,
HS05_05,どうする?どうする?どうする?,1期生楽曲,none,0,,,
HS05_06,世界にはThank you!が溢れている,2期生楽曲,none,54,,full,
HS05_07,膨大な夢に押し潰されて,全体曲,none,0,,,
HA01_01,アザトカワイイ,全体曲,none,55,,short,
HA01_02,この夏をジャムにしよう,3期生楽曲,none,0,,full,
HA01_03,日向坂,全体曲,none,56,,full,
HA01_04,ただがむしゃらに,全体曲,none,57,,,
HA01_05,どうして雨だと言ったんだろう?,きずなーず,https://youtu.be/vZHqpS0r6mY,58,,,
HA01_06,My fans,全体曲,none,59,,,
HA01_07,See Through,なおみく,none,60,,,
HA01_08,overture,,none,61,,full,
HS04_01,ソンナコトナイヨ,全体曲,none,62,Presso様,full,
HS04_02,青春の馬,全体曲,none,63,Presso様,full,
HS04_03,好きということは…,1期生楽曲,none,64,,,
HS04_04,窓を開けなくても,dasada7,none,65,,,
HS04_05,ナゼー,FACTORY,https://youtu.be/pMYlGd1f80g,66,,,
HS04_06,君のため何ができるだろう,2・3期生楽曲,https://youtu.be/U1JT48Qjzlc,67,,full,
HS03_01,こんなに好きになっちゃっていいの?,全体曲,none,68,Presso様,full,
HS03_02,ホントの時間,全体曲,none,69,,full,
HS03_03,まさか 偶然…,花ちゃんズ,https://youtu.be/l4C5v3YaxrE,0,楽譜なし、short,,
HS03_04,一番好きだとみんなに言っていた 小説のタイトルを思い出せない,上村ひなの,https://youtu.be/FLMVbjM8xIs,70,,full,
HS03_05,ママのドレス,りまちゃんちっく,none,71,,,
HS03_06,川は流れる,全体曲,https://youtu.be/9GsjqcUObrY,72,,full,
HS02_01,ドレミソラシド,全体曲,none,73,Presso様,,
HS02_02,キツネ,全体曲,none,74,Presso様,full,
HS02_03,My god,1期生楽曲,https://youtu.be/jRpjejNeL78,75,,,
HS02_04,Cage,やんちゃるふぁみりー,https://youtu.be/fNEUieHpC28,76,,full,
HS02_05,やさしさが邪魔をする,リスペクトスリー,https://youtu.be/_2ksCiIOwco,77,,full,
HS02_06,Dash&Rush,2・3期生楽曲,none,78,,,
HS01_01,キュン,全体曲,none,79,Presso様,full,
HS01_02,JOYFUL LOVE,全体曲,https://youtu.be/7xrN5XVmQr8,80,やさしめ,full,
HS01_03,耳に落ちる涙,1期生楽曲,none,81,,full,
HS01_04,Footsteps,浅草姉妹,https://youtu.be/suwiV6KjP7E,82,,full,
HS01_05,ときめき草,全体曲,none,83,Presso様,full,
HS01_06,沈黙が愛なら,2期生楽曲,https://youtu.be/SkBNXrYOxC8,84,,,
kA01_01,期待していない自分,全体曲,none,85,Presso様,full,
kA01_02,線香花火が消えるまで,はなちゃんず with K,none,86,,,
kA01_03,未熟な怒り,2期生楽曲,none,87,,,
kA01_04,わずかな光,佐々木美玲,none,88,,full,
kA01_05,ノックをするな!,加藤史帆、高瀬愛奈、東村芽依、富田鈴花、渡邉美穂,https://youtu.be/q9cotPQKNIk,89,,,
kA01_06,ハロウィンのカボチャが割れた,りまちゃんちっく,https://youtu.be/q1FRxblEX8M,90,,,
kA01_07,約束の卵,全体曲,https://youtu.be/DGBhml2FVg0,91,,short,
kA01_08,キレイになりたい,キレイになりたい人たち,none,92,,,
kA01_09,夏色のミュール,井口眞緒 、 影山優佳 、 高瀬愛奈 、 東村芽依,none,93,,,
kA01_10,男友達だから,加藤史帆,https://youtu.be/6jh2_hVXgGs,94,,,
kA01_11,最前列へ,2期生楽曲,none,95,,,
kA01_12,おいで夏の境界線,1期生楽曲,https://youtu.be/auTNURXCBAA,96,,,
kA01_13,車輪が軋むように君が泣く,全体曲,none,97,,full,
kA01_14,三輪車に乗りたい,フランスパン,https://youtu.be/5XiMd1dut_o,98,,,
kA01_15,こんな整列を誰がさせるのか?,1期生楽曲,none,99,,,
kA01_16,居心地悪く、大人になった,齊藤京子,none,100,,,
kA01_17,割れないシャボン玉,河田陽菜、濱岸ひより、宮田愛萌,https://youtu.be/SR05U-nxfiM,101,,,
kA01_18,ひらがなで恋したい,全体曲,none,102,,full,
KS08_01,抱きしめてやる,けやき坂46,none,0,,full,
KS08_02,君に話しておきたいこと,けやき坂46,https://youtu.be/Bt2t8HUgiFc,103,,,
KS07_01,ハッピーオーラ,けやき坂46,none,104,,full,
KS06_01,半分の記憶,2期生楽曲,none,105,,,
KS06_02,イマニミテイロ,1期生楽曲,none,106,Presso様,full,
KS05_01,NO WAR in the future,けやき坂46,none,107,,,
KS05_02,それでも歩いてる,けやき坂46,none,108,,,
KA01_01,永遠の白線,けやき坂46,https://youtu.be/1YVo77TYxRg,109,,,
KA01_02,太陽は見上げる人を選ばない,欅&けやき坂組,none,110,,,
KA01_03,猫の名前,佐々木・加藤・菅井・守屋,none,111,,,
KA01_04,沈黙した恋人よ,りまちゃんちっく,none,112,Presso様,full,
KS04_01,僕たちは付き合っている,けやき坂46,none,113,,,
KS04_02,W-KEYAKIZAKAの詩,欅&けやき坂組,none,114,Presso様,,
KS03_01,誰よりも高く跳べ!,けやき坂46,https://youtu.be/X4AGmiUG64c,115,,,
KS02_01,ひらがなけやき,けやき坂46,none,116,,full,
AS01_01,国境のない時代,坂道AKB選抜,none,117,,,
AS01_02,初恋ドア,坂道AKB選抜,none,118,,,
U01,HELL ROSE,チョコラショコラ,none,119,未音源化,,
U02,レントゲン眼鏡,まりりん&るびー,none,120,未音源化,,
U03,恋のトレイン,♡wistar♡,https://youtu.be/geOmkx31JaA,121,,,https://www.youtube.com/watch?v=EEu5P9IKE9k&t=14290s
K01_01,After you!,キョコロヒー,https://youtu.be/b4_7s_3nY7U,122,,,
K01_02,月下香,キョコロヒー,none,123,,,
P04_01,My family,齊藤京子,https://youtu.be/Eg7i3gJjBZ4,124,,,
P03_01,瑶季！魂！〜輝く未来へ〜,石塚瑶季,none,125,,,
P03_02,What's UP!? KISHIHO!,岸帆夏,none,126,,,
P03_03,この夜が明けたら,清水理央,none,127,,,
P03_04,羊たちは夢を語る,藤嶌果歩,https://youtu.be/ETp5so1nUfI,128,short,,
P03_05,ビ～ム,宮地すみれ,none,129,,,
P02_01,ひとりぼっちの革命,渡邉美穂,https://youtu.be/mc6xZ6g9IYw,130,,,
P01_01,死んじゃうくらい、抱きしめて。,齊藤京子,https://youtu.be/DNyEDI116qQ,131,,,
P01_02,水色、美玖色,金村美玖,none,132,,,
P01_03,私たちの未来,宮田愛萌,none,133,,,
P01_04,ラミラミパロパロルプルプル,潮紗理菜,none,134,,,
P01_05,チキンタルタルが食べたい,丹生明里,none,135,,,
P01_06,好花deNight,松田好花,none,136,,,
P01_07,MARIE IN WONDERLAND,森本茉莉,none,137,,,
P01_08,トゥトゥトゥイ,富田鈴花,none,138,,,
P01_09,ひよタンバリン,濱岸ひより,none,139,,,
P01_10,ラブポーションNo.17,上村ひなの,none,140,,,
P01_11,SING FOR YOU,加藤史帆,none,141,,,
P01_12,NIGHT FLIGHT,佐々木久美,none,142,,,
P01_13,わたしはねこ,東村芽依,none,143,,,
P01_14,KAWADA WATCH,河田陽菜,none,144,,,
P01_15,そういえば、あの頃,髙橋未来虹,https://youtu.be/fbVMhrcTGIs,145,,,
REL01,SPIRAL,Thinking Dogs、小坂菜緒,none,146,,,
REL02,花びらたちのマーチ,Aimer、佐々木美玲,none,147,,,
REL03,夏嵐,ジェニーハイ、金村美玖,none,0,,,
REL04,アポストロフィ,the shes gone、渡邉美穂,none,148,,,
REL05,If I stay out of life...?,清 竜人、渡邉美穂,none,149,,,
REL06,クロノグラフ彗星,神はサイコロを振らない、渡邉美穂,none,150,,,
REL07,急行券とリズム,Conton Candy、正源司陽子,none,151,,,
REL08,Maple Leaf Rag Electro Swing by EvolvingVibes,overture直前の音楽,https://youtube.com/live/MabD2bC95qs,152,楽譜なし、short,,https://www.youtube.com/watch?v=Nz0Qd_XFjDM
REL09,Upbeat Jungle Electro Swing,影ナレ前の曲,none,153,,,https://www.youtube.com/watch?v=iOz_W3naTU4
REL10,My Nail Salon,自己紹介の時の曲,none,154,,,https://www.youtube.com/watch?v=RZ60IUSGISY
REL11,丘の上には花畑,ぶりっ子の時の曲（最近はすみれのバックミュージック）,none,0,,,https://www.youtube.com/watch?v=4Dcyf4uJB8Q
REL12,明るく楽しい口笛メインのBGM,河田陽菜のテーマ曲,none,155,,,https://audiostock.jp/audio/176563
REL13,Mozart: Symphony No.25,森本茉莉のテーマ曲,none,156,,,https://www.youtube.com/watch?v=rjs8Wgr_MUA
